REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"R1","S2D2","HYDRO",1,"WATER",2055,29942.0855778005
"R1","S2D2","HYDRO",1,"WATER",2056,31489.6081170005
"R1","S2D2","HYDRO",1,"WATER",2057,33036.8830770005
"R1","S2D2","HYDRO",1,"WATER",2058,33846.7240584
"R1","S2D2","HYDRO",1,"WATER",2059,34242.9250768
"R1","S2D2","HYDRO",1,"WATER",2060,34639.2297856001
"R1","S2D2","HYDRO",1,"WATER",2061,35035.5344944002
"R1","S2D2","HYDRO",1,"WATER",2062,35431.7355127999
"R1","S2D2","HYDRO",1,"WATER",2063,35828.0402216001
"R1","S2D2","HYDRO",1,"WATER",2064,36224.24124
"R1","S2D2","HYDRO",1,"WATER",2065,36620.5459488
"R1","S2D2","HYDRO",1,"WATER",2066,37016.8506576
"R1","S2D2","HYDRO",1,"WATER",2067,37413.051676
"R1","S2D2","HYDRO",1,"WATER",2068,37809.3563848
"R1","S2D2","HYDRO",1,"WATER",2069,38205.5574032
"R1","S2D2","HYDRO",1,"WATER",2070,38601.862112
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2020,17078.592
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2021,18491.74452
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2022,19904.66138
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2023,21317.8139
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2024,22730.73076
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2025,24143.88328
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2026,25557.0358
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2027,26969.95266
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2028,28383.10518
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2029,29796.02204
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2030,31209.17456
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2031,32622.32708
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2032,34035.24394
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2033,35448.39646
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2034,35445.6284249989
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2035,34416.9657449989
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2036,33388.3030649989
"R1","S2D2","FOSSIL",1,"FOSSIL_FUEL",2037,32359.6860649989
